,Name,Lon,Lat,Number,ur,vr
90286,扎哈公路,101.4173539996874,36.36533299961832,扎哈公路_2,-0.9272100002413168,0.6047949995896147
86356,黄茨湾巷,101.57244899962171,36.49020099957653,黄茨湾巷_0,0.0865969995518725,-0.9504340001290076
107337,G109,101.40941899978708,36.66515799994181,G109_44,-0.5118589999928531,0.10485199962010938
6960,Unknown,101.33927597840376,37.092596366029504,Unknown_140,0.0802112041837546,-0.0398485929382062
6972,Unknown,101.20000097596431,37.1543152345605,Unknown_142,0.0073922932197518785,0.0007392292320673732
6972,Unknown,101.20000097596431,37.1543152345605,Unknown_142,0.0073922932197518785,0.0007392292320673732
45217,S204,100.19176099997028,38.10700799981941,S204_5,-0.06845100001361004,0.09991499947766158
42537,S204,100.50928099971844,37.6532490000414,S204_4,-1.5422340002988335,1.7191120002186722
128028,G227,101.41437599995248,37.25137799999476,G227_19,-0.12267300035871642,0.0561100001763748
46895,S215,98.43416600036068,38.798405000090725,S215_0,3.796779000350554,0.7763579999217498
139110,湟倒公路,101.10817000034531,36.4253189995722,湟倒公路_1,6.227698000462367,0.034522999336900284
139558,湟倒公路,101.10917199978806,36.44437499970649,湟倒公路_2,-0.03862300045106792,-0.049199999880094936
139439,湟倒公路,101.05046100017506,36.42235300039073,湟倒公路_2,-0.07248299979062267,-0.024231999607081892
104626,G109,100.54106899973459,36.56277499996634,G109_28,5.571299999895076,0.1875930003167312
132099,G315,100.04951299982514,37.27666100040489,G315_5,-0.6641490000762929,0.21403300012286766
131119,G315,98.94984900043109,37.236059000422586,G315_0,0.0826930002817221,0.1252910005792387
45696,S207,98.29710807947436,36.55311104443922,S207_1,-1.929830920360715,-1.4942279556556244
94238,Unknown,97.26238500006777,37.34280400010459,Unknown_132,-4.693606999763246,1.0919610002999391
94232,Unknown,96.44634581780531,37.434741128100654,Unknown_132,-5.505088182273767,1.1821471284872018
137363,G315,95.23845899968313,37.41660000018993,G315_8,0.8669450000117536,0.07326399983372768
76457,S310,93.96421775664422,37.23511921428036,S310_3,-1.5167252430754985,4.376289214375731
77049,S314,94.10090778736458,37.988519698725156,S314_15,-1.2664462127225562,5.116926698408406
132816,G315,90.5545629998826,38.33212999959983,G315_8,-9.599496999886624,1.015890999669864
132790,G315,90.50230300008344,38.3311609998803,G315_8,-9.00515999963433,1.201482999440891
132790,G315,90.50230300008344,38.3311609998803,G315_8,-9.00515999963433,1.201482999440891
56266,S307,102.47157257701286,36.11051261686384,S307_1,9.046419576702064,-2.7946843832776267
56266,S307,102.47157257701286,36.11051261686384,S307_1,9.046419576702064,-2.7946843832776267
33894,S202,102.15168400041635,36.17636000041375,S202_4,-0.4023659994912947,0.4129680000731355
