,Name,Lon,Lat,Number,ur,vr
27033,S101,101.4595349996406,36.07778899996242,S101_14,0.13439599957574444,0.2184759999674384
29557,S201,101.30306300005749,36.06126100039489,S201_1,-0.28371800038542005,-0.3561149998074029
29692,S201,101.23997600009235,36.07327200030261,S201_1,-0.3733600000639399,-0.3977689997395757
76502,S311,100.31200488921436,35.31236881826641,S311_2,4.831473889608347,2.461646818146164
76412,S310,100.45348522536293,34.38427406499613,S310_1,4.9660762251376696,1.5288120648249262
21220,S101,100.23666400044334,34.23297600004241,S101_8,-0.033621999155883486,-0.14958500034748567
76390,S310,99.58176967443096,33.74774585658605,S310_0,4.092170674836751,0.8953148567952098
76395,S310,99.34605362587422,33.717746466925966,S310_0,3.8569866256323166,0.8650374669055552
77893,班玛支线,100.74078399968194,32.92659799989781,班玛支线_0,-0.1903040003292915,-5.035772000177701
77893,班玛支线,100.74078399968194,32.92659799989781,班玛支线_0,-0.1903040003292915,-5.035772000177701
11228,S101,101.32105499968857,33.36754000037075,S101_1,0.2297389995552095,-0.06189199971601056
8004,S101,100.62601799973095,33.267431000040695,S101_1,-0.08718400054117126,0.2046790004355401
11225,S101,101.32044600038269,33.36762099960947,S101_1,0.23130799996420134,-0.06162200075476676
11227,S101,101.32072599980512,33.36756999995561,S101_1,0.2309190000118377,-0.061733000477538276
11234,S101,101.3223320001218,33.367577000278395,S101_1,0.22863900008979954,-0.06214399964586902
35490,S202,101.99052000029785,36.31293499975049,S202_10,-0.3097379997089291,0.3360289998384971
27576,S101,101.58701300034977,36.17264299987461,S101_21,0.2265710000516492,0.16868199967456832
42236,S203,101.98538399997169,36.13172599975513,S203_10,-0.1063009998912321,0.29152899996336146
33986,S202,102.19566499974,36.13469800011268,S202_4,-0.3565600005435812,0.3348520004195237
88132,循同路,102.1483210000142,35.622624000097574,循同路_1,0.6683840002214367,2.1945169999596037
88133,循同路,102.14843099969096,35.62273399977431,循同路_1,0.6686039995749411,2.1946469996593123
32762,S202,102.6262310001606,35.6601409999073,S202_0,-0.11873999975119888,0.0876919996860579
35490,S202,101.99052000029785,36.31293499975049,S202_10,-0.3097379997089291,0.3360289998384971
27450,S101,101.56343999965635,36.23104300043417,S101_21,0.21689999923559355,0.2556100001013917
41851,S203,102.01946699970232,36.015948999946424,S203_10,-0.041126999911114126,0.22366600008580664
39604,S203,101.96050700029787,35.359125000418494,S203_4,0.09182100033886798,0.1086819999743085
37632,S203,101.52877900025072,35.07409399973835,S203_1,-0.2244470001289756,0.4210020000422858
76462,S311,101.29531952337736,34.97609658149207,S311_0,5.8143455231274155,2.1180445814921995
76433,S310,101.28042267276815,34.56097401713725,S310_1,5.796570672898199,1.7016270167734433
36037,S203,102.13688299955083,34.49384299975469,S203_0,0.07833499986031711,-1.9527749999662658
